APT,PHASE,MOF,MVTS,ADD_TIME,AVG_ADD_TIME
SBGL,DEP,2020-07,491,1158.6100000000004,2.3596945010183306
SBGL,DEP,2020-08,716,3258.95,4.551606145251396
SBGL,DEP,2020-09,778,3667.2700000000004,4.713714652956298
SBGL,DEP,2020-10,1040,5194.17,4.994394230769231
SBGL,DEP,2020-11,885,4626.029999999999,5.22715254237288
SBGL,DEP,2020-12,1127,4672.9000000000005,4.146317657497782
SBGL,DEP,2021-01,1146,3602.8700000000013,3.143865619546249
SBGL,DEP,2021-02,740,1992.2599999999998,2.692243243243243
SBGL,DEP,2021-03,512,712.9299999999997,1.3924414062499995
SBGL,DEP,2021-04,385,808.9100000000001,2.1010649350649353
SBGL,DEP,2021-05,596,1475.1199999999997,2.4750335570469795
SBGL,DEP,2021-06,665,1960.0100000000002,2.947383458646617
SBGL,DEP,2021-07,1174,3999.02,3.406320272572402
SBGL,DEP,2021-08,1157,3973.8100000000004,3.434580812445981
SBGL,DEP,2021-09,1420,4921.230000000001,3.465654929577466
SBGL,DEP,2021-10,1337,4248.66,3.1777561705310395
SBGL,DEP,2021-11,1348,3669.320000000001,2.722047477744808
SBGL,DEP,2021-12,1735,6104.990000000001,3.518726224783862
SBGL,DEP,2022-01,1796,6650.020000000001,3.7026837416481078
SBGL,DEP,2022-02,1426,4907.25,3.4412692847124826
SBGL,DEP,2022-03,1483,5168.550000000001,3.485198921105867
SBGL,DEP,2022-04,1024,2833.479999999999,2.767070312499999
SBGL,DEP,2022-05,1003,2832.99,2.824516450648056
SBGL,DEP,2022-06,982,2428.2400000000002,2.4727494908350307
SBGL,DEP,2022-07,1149,3301.81,2.8736379460400348
SBGL,DEP,2022-08,1124,3188.05,2.836343416370107
SBGL,DEP,2022-09,1211,4544.0599999999995,3.7523203963666387
SBGL,DEP,2022-10,1235,3686.1199999999994,2.984712550607287
SBGL,DEP,2022-11,1305,4131.2300000000005,3.1656934865900386
SBGL,DEP,2022-12,1529,5336.239999999999,3.490019620667102
SBGR,DEP,2019-01,24214,144994.03999999998,5.988025109440819
SBGR,DEP,2019-02,20961,123044.31,5.8701545727780164
SBGR,DEP,2019-03,11035,58935.219999999994,5.340753964657906
SBGR,DEP,2019-04,10331,53270.23000000002,5.156347885006293
SBGR,DEP,2019-05,9470,37639.28999999999,3.974581837381203
SBGR,DEP,2019-06,9513,38063.78,4.001238305476716
SBGR,DEP,2019-07,11201,49896.11,4.45461208820641
SBGR,DEP,2019-08,11101,52911.5,4.766372398882983
SBGR,DEP,2019-09,10945,48216.73999999999,4.405366834170853
SBGR,DEP,2019-10,11059,52863.68,4.780150103987703
SBGR,DEP,2019-11,10874,53213.25,4.893622402059959
SBGR,DEP,2019-12,12237,81652.59000000001,6.672598676146115
SBGR,DEP,2020-01,11188,81753.09000000001,7.307212191633894
SBGR,DEP,2020-02,9825,53698.92999999999,5.465539949109414
SBGR,DEP,2020-03,7831,28959.219999999998,3.6980232409653935
SBGR,DEP,2020-04,1257,2039.24,1.6223070803500397
SBGR,DEP,2020-05,1501,2619.0499999999997,1.7448700866089273
SBGR,DEP,2020-06,1844,4075.6100000000006,2.2102006507592193
SBGR,DEP,2020-07,2875,8137.970000000001,2.8305982608695657
SBGR,DEP,2020-08,3897,11113.669999999998,2.8518527072106745
SBGR,DEP,2020-09,4796,12767.989999999998,2.6622164303586318
SBGR,DEP,2020-10,5854,19090.87,3.2611667236077895
SBGR,DEP,2020-11,6266,20002.409999999996,3.1922135333546118
SBGR,DEP,2020-12,7373,27072.84,3.6718893259188934
SBGR,DEP,2021-01,7344,26371.829999999994,3.590935457516339
SBGR,DEP,2021-02,5617,18011.42,3.20659070678298
SBGR,DEP,2021-03,4742,14199.939999999995,2.9945044285111755
SBGR,DEP,2021-04,3799,10790.979999999998,2.8404790734403784
SBGR,DEP,2021-05,4731,14253.089999999995,3.012701331642358
SBGR,DEP,2021-06,5455,17109.660000000003,3.136509624197984
SBGR,DEP,2021-07,7128,26783.389999999992,3.757490179573512
SBGR,DEP,2021-08,6733,24093.689999999995,3.5784479429674727
SBGR,DEP,2021-09,7138,26179.129999999997,3.6675721490613613
SBGR,DEP,2021-10,7363,27268.289999999994,3.70342115985332
SBGR,DEP,2021-11,7956,35642.99999999999,4.480015082956259
SBGR,DEP,2021-12,8760,41294.04,4.713931506849315
SBGR,DEP,2022-01,8282,38061.159999999996,4.595648394107703
SBGR,DEP,2022-02,6988,26469.239999999998,3.7878133943903833
SBGR,DEP,2022-03,7633,28970.120000000003,3.795377964103236
SBGR,DEP,2022-04,7193,24630.11,3.424177672737384
SBGR,DEP,2022-05,7568,27619.779999999995,3.649548097251585
SBGR,DEP,2022-06,7451,29399.5,3.9457119849684608
SBGR,DEP,2022-07,8948,35209.33000000001,3.9348826553419767
SBGR,DEP,2022-08,8978,33926.93,3.778896190688349
SBGR,DEP,2022-09,8579,41535.18000000001,4.8414943466604505
SBGR,DEP,2022-10,8856,45032.020000000004,5.084916440831075
SBGR,DEP,2022-11,8682,43283.539999999986,4.985434231743836
SBGR,DEP,2022-12,9479,53930.32000000001,5.689452473889651
SBKP,DEP,2019-01,9407,59320.51999999998,6.30599766131604
SBKP,DEP,2019-02,8765,57168.03999999999,6.522309184255561
SBKP,DEP,2019-03,4587,28285.409999999996,6.166429038587311
SBKP,DEP,2019-04,4539,28002.9,6.169398545935229
SBKP,DEP,2019-05,4666,26779.569999999992,5.7392991855979405
SBKP,DEP,2019-06,4495,27174.070000000003,6.045399332591769
SBKP,DEP,2019-07,4810,28882.48000000001,6.004673596673599
SBKP,DEP,2019-08,4755,20040.050000000003,4.214521556256573
SBKP,DEP,2019-09,4461,15549.069999999998,3.4855570499887913
SBKP,DEP,2019-10,4626,17752.809999999998,3.837615650670125
SBKP,DEP,2019-11,4266,16551.879999999997,3.8799531176746362
SBKP,DEP,2019-12,4202,14173.66,3.3730747263207994
SBKP,DEP,2020-01,4122,14225.430000000002,3.4510989810771475
SBKP,DEP,2020-02,3762,13974.609999999999,3.7146757044125462
SBKP,DEP,2020-03,2793,7966,2.8521303258145365
SBKP,DEP,2020-04,640,1551.43,2.424109375
SBKP,DEP,2020-05,778,1486.7499999999993,1.9109897172236494
SBKP,DEP,2020-06,568,1753.9599999999996,3.0879577464788723
SBKP,DEP,2020-07,791,2581.6200000000003,3.2637420986093555
SBKP,DEP,2020-08,952,2480.8499999999995,2.6059348739495793
SBKP,DEP,2020-09,1982,4116.37,2.0768768920282543
SBKP,DEP,2020-10,3288,9239.929999999998,2.8101976885644766
SBKP,DEP,2020-11,3777,12154.949999999999,3.2181493248610007
SBKP,DEP,2020-12,3959,13113.68,3.3123718110633997
SBKP,DEP,2021-01,4070,12513.18,3.0744914004914006
SBKP,DEP,2021-02,3436,8218.949999999999,2.3920110593713617
SBKP,DEP,2021-03,3645,9056.6,2.484663923182442
SBKP,DEP,2021-04,3071,5651.340000000001,1.840227938782156
SBKP,DEP,2021-05,3586,7598.9800000000005,2.119068600111545
SBKP,DEP,2021-06,3805,9165.779999999997,2.4088777923784486
SBKP,DEP,2021-07,4187,11028.699999999999,2.634033914497253
SBKP,DEP,2021-08,4606,12062.849999999997,2.6189426834563605
SBKP,DEP,2021-09,4323,12073.699999999997,2.792898450150358
SBKP,DEP,2021-10,4543,13821.730000000003,3.042423508694696
SBKP,DEP,2021-11,4550,13405.359999999997,2.9462329670329663
SBKP,DEP,2021-12,4617,13450.939999999997,2.9133506606021218
SBKP,DEP,2022-01,3817,10935.280000000004,2.8648886560125764
SBKP,DEP,2022-02,4065,10533.929999999998,2.591372693726937
SBKP,DEP,2022-03,4747,14202.119999999999,2.9918095639351168
SBKP,DEP,2022-04,4927,14060.050000000001,2.853673635072052
SBKP,DEP,2022-05,5414,17287.79,3.193164019209457
SBKP,DEP,2022-06,4751,12369.119999999995,2.603477162702588
SBKP,DEP,2022-07,5187,13822.039999999997,2.6647464815885864
SBKP,DEP,2022-08,5420,17214.480000000003,3.176103321033211
SBKP,DEP,2022-09,5378,19671.21,3.657718482707326
SBKP,DEP,2022-10,5672,20822.1,3.671033145275035
SBKP,DEP,2022-11,5353,16807.270000000004,3.139785167195966
SBKP,DEP,2022-12,5518,20303.18,3.6794454512504533
SBPA,DEP,2019-01,5606,20861.179999999997,3.7212236889047445
SBPA,DEP,2019-02,5209,27197.550000000003,5.221261278556345
SBPA,DEP,2019-03,2626,13067.509999999997,4.97620335110434
SBPA,DEP,2019-04,2558,12944.529999999997,5.060410476935105
SBPA,DEP,2019-05,2554,12125.27,4.747560689115113
SBPA,DEP,2019-06,2493,11708.310000000001,4.696474127557161
SBPA,DEP,2019-07,2855,12690.129999999997,4.444879159369526
SBPA,DEP,2019-08,2857,15511.780000000002,5.429394469723487
SBPA,DEP,2019-09,2753,9794.86,3.5578859426080642
SBPA,DEP,2019-10,2857,13307.27,4.657777388869444
SBPA,DEP,2019-11,2723,8509.78,3.1251487330150574
SBPA,DEP,2019-12,2972,10170.229999999998,3.422015477792731
SBPA,DEP,2020-01,2898,10290.489999999998,3.5508937198067625
SBPA,DEP,2020-02,2532,6943.399999999999,2.7422590837282774
SBPA,DEP,2020-03,1883,4991.21,2.650669144981413
SBPA,DEP,2020-04,151,158.85000000000002,1.0519867549668875
SBPA,DEP,2020-05,160,280.71,1.7544374999999999
SBPA,DEP,2020-06,230,452.78000000000003,1.968608695652174
SBPA,DEP,2020-07,354,629.78999999999985,1.7790677966101691
SBPA,DEP,2020-08,395,573.9000000000002,1.4529113924050638
SBPA,DEP,2020-09,626,1036.1299999999999,1.6551597444089454
SBPA,DEP,2020-10,1055,2205.0900000000006,2.0901327014218016
SBPA,DEP,2020-11,1379,2874.4,2.084408992023205
SBPA,DEP,2020-12,1676,3661.9399999999996,2.1849284009546537
SBPA,DEP,2021-01,1761,3320.9400000000005,1.885826235093697
SBPA,DEP,2021-02,1314,2927.2899999999995,2.2277701674277015
SBPA,DEP,2021-03,1032,1902.1799999999996,1.8431976744186043
SBPA,DEP,2021-04,684,1308.59,1.913143274853801
SBPA,DEP,2021-05,946,1669.26,1.7645454545454546
SBPA,DEP,2021-06,1258,2719.98,2.16214626391097
SBPA,DEP,2021-07,1687,4032.98,2.3906224066390043
SBPA,DEP,2021-08,1798,3923.530000000001,2.182163515016686
SBPA,DEP,2021-09,1766,4752.7699999999995,2.6912627406568514
SBPA,DEP,2021-10,1813,4467.429999999999,2.464109211252068
SBPA,DEP,2021-11,2181,6574.790000000001,3.0145758826226507
SBPA,DEP,2021-12,2373,6338.069999999999,2.670910240202275
SBPA,DEP,2022-01,2190,5748.489999999999,2.6248812785388123
SBPA,DEP,2022-02,1772,4376.300000000001,2.46969525959368
SBPA,DEP,2022-03,2081,5712.039999999997,2.7448534358481487
SBPA,DEP,2022-04,2174,5986.540000000001,2.753698252069918
SBPA,DEP,2022-05,2430,6825.3499999999995,2.8087860082304523
SBPA,DEP,2022-06,2282,6162.330000000002,2.700407537248029
SBPA,DEP,2022-07,2486,6825.62,2.745623491552695
SBPA,DEP,2022-08,2299,5899.400000000002,2.5660722053066563
SBPA,DEP,2022-09,2193,5825.249999999999,2.6562927496580024
SBPA,DEP,2022-10,2301,6037.99,2.624072142546719
SBPA,DEP,2022-11,2398,6802.879999999999,2.836897414512093
SBPA,DEP,2022-12,2487,6698.669999999998,2.693474065138721
SBRJ,DEP,2019-01,7364,25877.499999999996,3.514054861488321
SBRJ,DEP,2019-02,6649,25401.289999999994,3.820317340953526
SBRJ,DEP,2019-03,3529,15806.829999999998,4.479124397846415
SBRJ,DEP,2019-04,3551,14919.440000000002,4.2014756406646026
SBRJ,DEP,2019-05,3631,16124.620000000004,4.44082071054806
SBRJ,DEP,2019-06,3282,12576.79,3.832050578915296
SBRJ,DEP,2019-07,3597,12435.199999999999,3.4571031415068108
SBRJ,DEP,2019-08,2841,10968.72,3.8608658922914465
SBRJ,DEP,2019-09,1556,4988.109999999999,3.205726221079691
SBRJ,DEP,2019-10,4117,14774.460000000001,3.5886470731114892
SBRJ,DEP,2019-11,4021,13350.129999999997,3.320101964685401
SBRJ,DEP,2019-12,4335,15369.380000000001,3.5454163783160326
SBRJ,DEP,2020-01,4499,20479.930000000004,4.552107134918872
SBRJ,DEP,2020-02,3964,12824.910000000002,3.2353456104944507
SBRJ,DEP,2020-03,2884,8446.099999999999,2.928606102635228
SBRJ,DEP,2020-04,189,323.15000000000003,1.70978835978836
SBRJ,DEP,2020-05,243,333.41,1.3720576131687243
SBRJ,DEP,2020-06,374,574.9399999999999,1.5372727272727271
SBRJ,DEP,2020-07,609,1383.6499999999999,2.2720032840722495
SBRJ,DEP,2020-08,835,2382.4400000000005,2.8532215568862282
SBRJ,DEP,2020-09,1416,3765.03,2.658919491525424
SBRJ,DEP,2020-10,2033,5548.6500000000015,2.7292916871618305
SBRJ,DEP,2020-11,2317,6754.399999999999,2.915148899438929
SBRJ,DEP,2020-12,2821,9443.510000000002,3.3475753278979092
SBRJ,DEP,2021-01,2790,8518.28,3.053146953405018
SBRJ,DEP,2021-02,2130,6227.12,2.9235305164319247
SBRJ,DEP,2021-03,1808,3883.5299999999997,2.147970132743363
SBRJ,DEP,2021-04,1311,2452.2399999999993,1.8705110602593435
SBRJ,DEP,2021-05,1745,4091.0200000000004,2.3444240687679088
SBRJ,DEP,2021-06,2029,5085.52,2.5064169541646133
SBRJ,DEP,2021-07,2588,7890.389999999999,3.0488369397217925
SBRJ,DEP,2021-08,2643,7148.229999999999,2.70458948164964
SBRJ,DEP,2021-09,2818,8122.559999999998,2.8823846699787077
SBRJ,DEP,2021-10,2867,8049.9,2.8077781653296126
SBRJ,DEP,2021-11,3140,9162.189999999999,2.9178949044585982
SBRJ,DEP,2021-12,3417,10484.859999999999,3.068440152180275
SBRJ,DEP,2022-01,3028,8473.359999999999,2.7983355350066046
SBRJ,DEP,2022-02,2719,8170.219999999999,3.0048620816476643
SBRJ,DEP,2022-03,3326,10708.710000000001,3.2196963319302467
SBRJ,DEP,2022-04,3811,16452.57,4.3171267383888745
SBRJ,DEP,2022-05,4190,17870.760000000002,4.2650978520286404
SBRJ,DEP,2022-06,3878,16391.470000000005,4.226784424961322
SBRJ,DEP,2022-07,4298,18566.160000000003,4.319720800372267
SBRJ,DEP,2022-08,4312,19336.319999999996,4.484304267161409
SBRJ,DEP,2022-09,4226,20381.620000000003,4.822910553715098
SBRJ,DEP,2022-10,4472,20940.350000000006,4.6825469588551
SBRJ,DEP,2022-11,4525,23164.28,5.119177900552486
SBRJ,DEP,2022-12,4627,23196.820000000007,5.013360708882647
SBSP,DEP,2019-01,15344,70909.9,4.621343847758081
SBSP,DEP,2019-02,13594,86215.70999999998,6.342188465499484
SBSP,DEP,2019-03,7238,32104.300000000003,4.435520862116607
SBSP,DEP,2019-04,7059,36917.38999999999,5.229832837512395
SBSP,DEP,2019-05,7117,33944.83,4.769541941829423
SBSP,DEP,2019-06,6492,26616.560000000005,4.099901417128774
SBSP,DEP,2019-07,7102,26555.569999999996,3.739167840045057
SBSP,DEP,2019-08,7027,37651.2,5.3580759925999715
SBSP,DEP,2019-09,7235,32643.87999999999,4.511939184519695
SBSP,DEP,2019-10,7491,40756.84,5.4407742624482704
SBSP,DEP,2019-11,7332,39512.25000000001,5.389013911620296
SBSP,DEP,2019-12,7581,40827.63,5.385520379897111
SBSP,DEP,2020-01,7750,43520.83,5.615590967741936
SBSP,DEP,2020-02,6923,36452.509999999995,5.265421060234002
SBSP,DEP,2020-03,4970,20258.210000000003,4.076098591549297
SBSP,DEP,2020-04,44,18.64,0.42363636363636364
SBSP,DEP,2020-05,25,22.619999999999997,0.9047999999999999
SBSP,DEP,2020-06,346,544.76,1.5744508670520232
SBSP,DEP,2020-07,618,735.7599999999998,1.1905501618122973
SBSP,DEP,2020-08,522,5303.949999999999,10.16082375478927
SBSP,DEP,2020-09,887,2284.99,2.57608793686584
SBSP,DEP,2020-10,1898,3759.78,1.9809167544783983
SBSP,DEP,2020-11,2446,4862.340000000001,1.9878740801308263
SBSP,DEP,2020-12,2957,8034.27,2.717034156239432
SBSP,DEP,2021-01,3424,8609.16,2.514357476635514
SBSP,DEP,2021-02,2550,4704.79,1.8450156862745097
SBSP,DEP,2021-03,2077,3754.3900000000012,1.8076023110255182
SBSP,DEP,2021-04,1159,1526.2300000000002,1.3168507333908543
SBSP,DEP,2021-05,1735,2964.9200000000005,1.7088876080691646
SBSP,DEP,2021-06,2119,4124.1900000000005,1.946290703161869
SBSP,DEP,2021-07,3332,7948.879999999999,2.385618247298919
SBSP,DEP,2021-08,3236,7721.239999999999,2.3860444993819527
SBSP,DEP,2021-09,3757,10691.309999999998,2.845704019164226
SBSP,DEP,2021-10,4055,11948.519999999999,2.9466140567200982
SBSP,DEP,2021-11,4398,14975.159999999998,3.4049931787175987
SBSP,DEP,2021-12,5222,17822.550000000003,3.4129739563385684
SBSP,DEP,2022-01,5293,17229.440000000002,3.255136973361043
SBSP,DEP,2022-02,4084,12746.119999999999,3.1209892262487755
SBSP,DEP,2022-03,4606,18012.850000000002,3.9107359965262707
SBSP,DEP,2022-04,5553,24353.80000000001,4.385701422654423
SBSP,DEP,2022-05,6390,30409.91,4.758984350547731
SBSP,DEP,2022-06,5936,22390.489999999994,3.7719828167115894
SBSP,DEP,2022-07,6579,27091.710000000003,4.1179069767441865
SBSP,DEP,2022-08,6385,34222.719999999994,5.359862176977289
SBSP,DEP,2022-09,6100,33920.45,5.5607295081967205
SBSP,DEP,2022-10,6568,35522.83,5.408469853836785
SBSP,DEP,2022-11,7111,44154.24999999999,6.2092884263816615
SBSP,DEP,2022-12,7448,47141.829999999994,6.329461600429645
SBSV,DEP,2019-01,5830,24530.25,4.207590051457976
SBSV,DEP,2019-02,4556,20438.49,4.4860601404741
SBSV,DEP,2019-03,2436,11594.330000000002,4.759577175697866
SBSV,DEP,2019-04,1923,8654.49,4.500514820592824
SBSV,DEP,2019-05,1705,7357.1900000000005,4.315067448680352
SBSV,DEP,2019-06,1781,8056.82,4.523761931499157
SBSV,DEP,2019-07,2479,10588.07,4.271105284388867
SBSV,DEP,2019-08,2237,11159.3,4.9885113991953505
SBSV,DEP,2019-09,2194,6677.110000000001,3.0433500455788516
SBSV,DEP,2019-10,2254,9444.79,4.190235137533275
SBSV,DEP,2019-11,2389,7329.920000000002,3.068195897865216
SBSV,DEP,2019-12,2669,8755.2,3.2803297115024357
SBSV,DEP,2020-01,2726,10129.85,3.7160124724871606
SBSV,DEP,2020-02,2415,6953.85,2.87944099378882
SBSV,DEP,2020-03,1752,4757.8,2.7156392694063927
SBSV,DEP,2020-04,163,291.09,1.7858282208588956
SBSV,DEP,2020-05,203,439.69000000000005,2.1659605911330053
SBSV,DEP,2020-06,230,540.5899999999999,2.3503913043478257
SBSV,DEP,2020-07,404,1062.8,2.6306930693069304
SBSV,DEP,2020-08,528,1545.5800000000002,2.927234848484849
SBSV,DEP,2020-09,845,2383.06,2.820189349112426
SBSV,DEP,2020-10,1356,3776.7800000000007,2.7852359882005904
SBSV,DEP,2020-11,1486,5210.07,3.5061036339165543
SBSV,DEP,2020-12,2029,7394.079999999999,3.644199112863479
SBSV,DEP,2021-01,2452,9893.079999999998,4.0346982055464915
SBSV,DEP,2021-02,1672,4775.189999999998,2.8559748803827736
SBSV,DEP,2021-03,1472,4805.460000000001,3.2645788043478268
SBSV,DEP,2021-04,861,2133.4399999999996,2.4778629500580713
SBSV,DEP,2021-05,1101,3481.86,3.1624523160762945
SBSV,DEP,2021-06,1440,4669.509999999999,3.2427152777777772
SBSV,DEP,2021-07,1961,6269.170000000001,3.1969250382457934
SBSV,DEP,2021-08,1723,6706.1500000000005,3.892135809634359
SBSV,DEP,2021-09,1955,9151.449999999999,4.681048593350383
SBSV,DEP,2021-10,2008,7184.73,3.578052788844621
SBSV,DEP,2021-11,2106,7632.36,3.624102564102564
SBSV,DEP,2021-12,2566,9648.960000000001,3.760311769290725
SBSV,DEP,2022-01,2591,10291.660000000003,3.972080277884988
SBSV,DEP,2022-02,2068,6942.1500000000015,3.3569390715667318
SBSV,DEP,2022-03,2307,7760.879999999999,3.3640572171651493
SBSV,DEP,2022-04,2118,7625.62,3.6003871576959394
SBSV,DEP,2022-05,2056,6917.26,3.3644260700389106
SBSV,DEP,2022-06,1971,7002.060000000001,3.5525418569254192
SBSV,DEP,2022-07,2085,8045.4000000000005,3.8587050359712234
SBSV,DEP,2022-08,2053,7189.239999999999,3.501821724305893
SBSV,DEP,2022-09,1943,6867.910000000001,3.534693772516727
SBSV,DEP,2022-10,1924,6529.11,3.3935083160083157
SBSV,DEP,2022-11,2082,7471.99,3.588852065321806
SBSV,DEP,2022-12,2412,8516.340000000002,3.530820895522389
