APT,DATE,PHASE,N_VALID,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)",EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
SBSP,2019-03,DEP,7236,0,0,0,0,0,0,0,0,0,3,233,1561,2030,1111,631,398,278,186,166,125,95,80,57,49,31,202,1794,2030,1111,1029,3141,5964
SBSP,2019-04,DEP,7107,0,0,0,0,0,0,0,0,0,6,264,1610,1938,1129,579,416,264,198,134,116,76,66,56,37,16,202,1874,1938,1129,995,3067,5936
SBSP,2019-05,DEP,7141,0,0,0,0,0,0,0,0,0,0,372,1916,2096,1096,518,367,212,152,102,86,58,32,24,27,15,68,2288,2096,1096,885,3192,6365
SBSP,2019-06,DEP,6512,0,0,0,0,0,0,0,0,0,9,339,1803,1835,967,541,322,204,148,105,54,38,39,27,12,21,48,2142,1835,967,863,2802,5807
SBSP,2019-07,DEP,7119,0,0,0,0,0,0,0,0,0,7,382,1662,1940,1057,565,448,280,196,155,98,69,52,46,37,21,104,2044,1940,1057,1013,2997,6054
SBSP,2019-08,DEP,7049,0,0,0,0,0,0,0,0,0,9,385,1924,1994,1025,538,373,239,163,108,79,53,36,28,20,19,56,2309,1994,1025,911,3019,6239
SBSP,2019-09,DEP,7265,0,0,0,0,0,0,0,0,0,6,309,1608,1987,1083,613,397,312,230,146,142,101,67,72,41,13,138,1917,1987,1083,1010,3070,5997
SBSP,2019-10,DEP,7529,0,0,0,0,0,0,0,0,0,4,262,1743,2190,1173,693,428,299,210,144,86,69,45,35,29,20,99,2005,2190,1173,1121,3363,6489
SBSP,2019-11,DEP,7374,0,0,0,0,0,0,0,0,0,10,239,1300,1857,1150,679,468,387,272,213,168,126,89,68,51,44,253,1539,1857,1150,1147,3007,5693
SBSP,2019-12,DEP,7619,0,0,0,0,0,0,0,0,0,12,388,1460,1752,1078,686,491,364,299,208,155,143,95,78,52,59,299,1848,1752,1078,1177,2830,5855
SBSP,2020-01,DEP,7854,0,0,0,0,0,0,0,0,0,24,641,2097,2064,1090,612,386,282,162,104,86,65,50,40,20,21,110,2738,2064,1090,998,3154,6890
SBSP,2020-02,DEP,6996,1,0,0,0,0,0,0,0,1,13,455,1737,1751,983,517,334,251,197,137,124,104,65,57,41,35,193,2192,1751,983,851,2734,5777
SBSP,2020-03,DEP,4983,0,0,0,0,0,0,0,0,2,8,534,1736,1393,598,305,156,73,48,36,21,13,9,6,6,5,34,2270,1393,598,461,1991,4722
SBSP,2020-04,DEP,44,1,1,0,0,0,0,0,0,0,2,14,22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,36,3,1,0,4,40
SBSP,2020-05,DEP,25,0,0,0,0,0,0,0,0,1,1,9,9,2,0,0,1,1,0,0,0,0,1,0,0,0,0,18,2,0,1,2,21
SBSP,2020-06,DEP,371,0,0,0,0,0,0,0,0,0,13,119,163,52,10,5,3,1,1,1,0,1,0,0,0,0,2,282,52,10,8,62,352
SBSP,2020-07,DEP,680,0,0,0,0,0,0,0,0,0,24,256,274,89,18,4,1,2,3,1,1,1,0,0,0,0,6,530,89,18,5,107,642
SBSP,2020-08,DEP,535,0,0,0,0,0,0,1,1,1,8,108,218,117,35,15,6,5,2,2,4,3,0,2,1,1,5,326,117,35,21,152,499
SBSP,2020-09,DEP,917,1,0,0,0,0,0,0,0,0,16,273,366,166,34,20,10,5,8,7,1,2,0,3,1,0,4,639,166,34,30,200,869
SBSP,2020-10,DEP,1934,0,0,0,0,0,0,1,1,2,40,568,684,371,115,62,23,19,12,5,4,4,7,2,2,1,11,1252,371,115,85,486,1823
SBSP,2020-11,DEP,2463,0,0,0,0,0,0,0,0,0,20,434,893,590,256,103,52,30,13,15,15,6,6,3,4,1,22,1327,590,256,155,846,2328
SBSP,2020-12,DEP,2975,0,0,0,0,0,0,0,0,0,16,366,919,752,374,169,112,76,47,38,33,15,15,11,5,8,19,1285,752,374,281,1126,2692
SBSP,2021-01,DEP,3462,1,0,0,1,0,0,0,0,1,33,546,1189,810,375,163,108,72,51,27,16,11,7,10,6,4,31,1735,810,375,271,1185,3191
SBSP,2021-02,DEP,2564,1,0,0,0,0,0,0,0,0,18,503,981,653,201,76,41,20,20,11,4,4,5,3,2,2,19,1484,653,201,117,854,2455
SBSP,2021-03,DEP,2081,0,0,0,0,0,0,0,0,0,36,449,889,451,124,58,26,13,10,5,2,1,4,2,2,1,8,1338,451,124,84,575,1997
SBSP,2021-04,DEP,1159,0,0,0,0,0,0,0,0,0,13,249,574,233,46,20,6,6,3,2,1,0,1,0,1,0,4,823,233,46,26,279,1128
SBSP,2021-05,DEP,1743,0,0,0,0,0,0,0,0,0,6,275,756,460,137,35,25,10,5,6,4,1,7,0,3,5,8,1031,460,137,60,597,1688
SBSP,2021-06,DEP,2127,0,0,0,0,0,0,0,0,0,2,350,878,525,168,58,38,31,21,9,11,9,2,6,4,2,13,1228,525,168,96,693,2017
SBSP,2021-07,DEP,3343,0,0,0,0,0,0,0,0,0,10,498,1272,849,335,141,87,45,25,17,6,5,8,5,2,4,34,1770,849,335,228,1184,3182
SBSP,2021-08,DEP,3261,1,1,1,1,0,1,0,0,1,19,539,1244,823,290,122,62,38,18,20,14,12,6,5,4,3,36,1783,823,290,184,1113,3080
SBSP,2021-09,DEP,3774,0,0,0,0,0,0,0,0,0,14,431,1313,1116,406,186,97,65,34,27,16,19,8,9,2,4,27,1744,1116,406,283,1522,3549
SBSP,2021-10,DEP,4067,0,0,0,0,0,0,0,0,0,5,325,1243,1154,567,282,157,92,59,37,32,23,22,13,11,3,42,1568,1154,567,439,1721,3728
SBSP,2021-11,DEP,4380,0,0,0,0,0,0,0,0,0,3,256,995,1170,612,392,256,173,109,87,64,47,51,30,23,18,94,1251,1170,612,648,1782,3681
SBSP,2021-12,DEP,5256,0,0,0,0,0,0,0,0,0,3,216,871,1247,766,527,393,295,212,160,107,98,70,51,43,43,154,1087,1247,766,920,2013,4020
SBSP,2022-01,DEP,5332,0,0,0,0,0,0,1,0,1,10,341,1364,1495,743,403,257,150,114,97,74,44,33,44,21,25,115,1705,1495,743,660,2238,4603
SBSP,2022-02,DEP,4079,0,0,0,0,0,0,0,0,0,8,457,1453,1134,462,207,126,76,41,34,14,14,10,8,5,3,27,1910,1134,462,333,1596,3839
SBSP,2022-03,DEP,4630,1,0,0,0,0,0,1,0,0,14,458,1576,1324,592,227,154,78,53,31,28,19,8,12,11,10,33,2034,1324,592,381,1916,4331
SBSP,2022-04,DEP,5449,0,0,0,0,0,0,0,0,0,4,336,1527,1678,827,397,230,145,93,53,35,26,22,12,16,2,46,1863,1678,827,627,2505,4995
SBSP,2022-05,DEP,6398,0,0,0,0,0,0,0,0,0,10,383,1726,1921,958,502,277,179,119,91,48,32,30,12,12,11,87,2109,1921,958,779,2879,5767
SBSP,2022-06,DEP,5963,0,0,0,0,0,0,0,0,0,7,319,1634,1948,892,434,246,175,99,59,34,20,18,13,9,10,46,1953,1948,892,680,2840,5473
SBSP,2022-07,DEP,6637,0,0,0,0,0,0,0,0,0,11,271,1428,1936,1072,573,387,264,195,148,83,70,42,33,21,19,84,1699,1936,1072,960,3008,5667
SBSP,2022-08,DEP,6385,1,0,0,0,0,0,0,0,0,4,265,1282,1683,1046,574,396,289,228,169,88,76,59,34,40,25,126,1547,1683,1046,970,2729,5246
SBSP,2022-09,DEP,6116,0,0,0,0,0,0,0,0,0,7,277,1296,1658,963,556,349,265,197,124,97,64,45,30,29,22,137,1573,1658,963,905,2621,5099
SBSP,2022-10,DEP,6559,0,0,0,0,0,0,0,0,0,11,336,1315,1703,980,577,371,273,221,155,126,100,67,45,36,40,203,1651,1703,980,948,2683,5282
SBSP,2022-11,DEP,7033,4,0,0,0,0,0,0,0,0,5,151,781,1453,1123,742,542,398,332,253,231,170,137,131,106,78,396,932,1453,1123,1284,2576,4792
SBSP,2022-12,DEP,7386,1,0,0,0,0,0,0,0,0,13,245,879,1493,1135,763,607,427,379,266,270,161,126,94,95,72,360,1124,1493,1135,1370,2628,5122
SBSP,2023-01,DEP,7585,1,0,0,0,0,0,0,0,0,8,348,1340,1794,1300,703,478,390,261,199,131,118,93,79,50,53,239,1688,1794,1300,1181,3094,5963
SBSP,2023-02,DEP,6586,23,0,0,0,0,0,0,2,0,12,308,1146,1576,1047,597,399,323,227,185,151,117,75,69,50,35,244,1454,1576,1047,996,2623,5073
SBSV,2019-01,ARR,3043,18,3,1,1,1,2,12,44,108,248,374,433,417,335,243,167,125,103,83,64,45,26,29,19,22,120,807,417,335,410,752,1969
SBSV,2019-02,ARR,2389,7,0,1,1,1,4,11,52,107,194,264,346,338,262,195,138,105,73,56,44,34,20,25,10,14,87,610,338,262,333,600,1543
SBSV,2019-03,ARR,2543,0,0,0,0,0,5,8,29,111,226,326,376,318,286,215,153,93,89,44,40,37,31,17,16,17,106,702,318,286,368,604,1674
SBSV,2019-04,ARR,2019,0,0,0,0,0,8,12,42,93,176,282,283,290,222,154,118,76,67,50,27,24,12,8,13,4,58,565,290,222,272,512,1349
SBSV,2019-05,ARR,1827,3,2,1,0,0,10,20,33,87,223,259,270,234,198,149,103,56,37,29,23,15,9,11,8,5,42,529,234,198,252,432,1213
SBSV,2019-06,ARR,1852,7,0,1,1,4,10,6,34,108,206,289,271,236,182,130,98,61,47,29,20,23,11,6,14,5,53,560,236,182,228,418,1206
SBSV,2019-07,ARR,2580,1,0,0,0,3,4,19,36,134,294,409,402,322,256,217,144,97,65,38,20,21,18,10,7,6,57,811,322,256,361,578,1750
SBSV,2019-08,ARR,2358,0,0,0,0,4,2,11,38,131,239,371,404,327,265,189,121,79,44,31,25,17,12,9,2,3,34,775,327,265,310,592,1677
SBSV,2019-09,ARR,2287,0,0,0,0,3,12,30,50,122,257,345,341,297,259,162,111,77,53,31,25,27,17,16,5,7,40,686,297,259,273,556,1515
SBSV,2019-10,ARR,2394,0,0,1,0,2,5,20,49,125,261,362,369,334,242,190,134,84,61,32,32,16,16,10,5,9,35,731,334,242,324,576,1631
SBSV,2019-11,ARR,2477,2,0,0,0,0,5,20,43,124,234,352,382,351,256,166,138,104,75,43,34,27,12,16,6,16,71,734,351,256,304,607,1645
SBSV,2019-12,ARR,2777,0,0,1,0,1,2,10,70,132,275,369,392,336,263,205,161,114,93,63,52,42,36,23,17,12,108,761,336,263,366,599,1726
SBSV,2020-01,ARR,2939,10,3,2,0,7,4,16,72,155,337,450,492,393,248,197,142,104,70,34,36,26,20,14,14,11,82,942,393,248,339,641,1922
SBSV,2020-02,ARR,2587,0,1,0,0,1,4,29,72,193,343,440,438,324,174,148,80,75,40,44,22,30,22,10,14,10,73,878,324,174,228,498,1604
SBSV,2020-03,ARR,1817,0,0,0,0,0,0,18,58,171,290,378,269,218,136,53,77,32,24,23,15,9,3,4,4,2,33,647,218,136,130,354,1131
SBSV,2020-04,ARR,181,0,0,0,1,1,2,4,17,21,27,17,29,23,13,8,4,2,6,0,0,1,0,0,0,0,5,46,23,13,12,36,94
SBSV,2020-05,ARR,233,0,0,1,0,3,6,10,22,35,36,43,23,19,13,7,3,2,4,0,1,2,0,0,0,1,2,66,19,13,10,32,108
SBSV,2020-06,ARR,288,1,0,0,1,2,6,4,9,22,36,52,47,36,30,20,7,4,3,0,2,0,2,0,2,0,2,99,36,30,27,66,192
SBSV,2020-07,ARR,487,0,0,0,0,0,0,7,13,36,80,83,84,69,32,33,21,2,5,3,1,1,1,0,3,2,11,167,69,32,54,101,322
SBSV,2020-08,ARR,629,0,0,0,0,0,1,6,19,45,117,123,100,65,48,37,19,7,6,7,6,0,2,1,0,2,18,223,65,48,56,113,392
SBSV,2020-09,ARR,917,0,0,1,4,3,4,11,35,65,130,183,136,122,84,61,23,12,7,4,6,4,2,2,1,1,16,319,122,84,84,206,609
SBSV,2020-10,ARR,1413,4,1,0,1,3,2,15,49,108,216,238,240,188,120,70,50,35,25,7,9,4,2,2,2,2,20,478,188,120,120,308,906
SBSV,2020-11,ARR,1540,1,0,1,0,0,0,5,31,68,164,229,265,215,185,100,73,58,35,26,19,13,7,11,2,5,27,494,215,185,173,400,1067
SBSV,2020-12,ARR,2093,0,3,2,4,5,4,8,41,107,242,329,313,306,232,134,130,60,31,38,28,18,9,13,5,7,24,642,306,232,264,538,1444
SBSV,2021-01,ARR,2512,1,0,0,0,3,5,19,77,199,401,479,436,281,208,141,82,61,31,19,13,12,8,5,4,1,26,915,281,208,223,489,1627
SBSV,2021-02,ARR,1680,0,0,0,0,0,6,30,82,220,336,339,245,150,89,65,25,19,14,11,10,7,3,5,0,3,21,584,150,89,90,239,913
SBSV,2021-03,ARR,1479,0,0,1,0,0,2,23,92,210,296,294,225,149,74,36,22,10,12,3,2,5,2,0,1,0,20,519,149,74,58,223,800
SBSV,2021-04,ARR,862,1,1,1,2,6,9,12,36,77,137,155,152,107,64,45,21,9,11,3,2,2,1,1,1,1,5,307,107,64,66,171,544
SBSV,2021-05,ARR,1103,1,0,1,2,3,13,20,57,129,226,193,152,114,69,41,20,23,7,7,6,2,2,2,3,1,9,345,114,69,61,183,589
SBSV,2021-06,ARR,1459,0,1,0,1,2,9,33,92,183,279,297,198,133,86,47,39,19,11,7,2,5,2,0,0,1,12,495,133,86,86,219,800
SBSV,2021-07,ARR,1988,0,0,2,1,2,3,27,91,201,342,406,317,226,125,78,56,23,17,11,11,6,10,3,3,2,25,723,226,125,134,351,1208
SBSV,2021-08,ARR,1800,0,0,1,1,1,3,23,69,201,345,364,303,169,114,60,55,21,13,12,10,4,3,5,1,1,21,667,169,114,115,283,1065
SBSV,2021-09,ARR,1957,0,0,0,0,1,4,14,34,135,321,423,319,266,152,98,56,41,18,14,14,8,7,4,2,3,23,742,266,152,154,418,1314
SBSV,2021-10,ARR,2062,1,0,0,0,2,3,15,58,176,328,402,338,245,149,92,65,40,32,18,14,9,4,7,4,6,54,740,245,149,157,394,1291
SBSV,2021-11,ARR,2189,0,0,0,0,0,3,11,60,147,308,352,338,253,208,129,88,67,58,28,27,15,9,11,10,2,65,690,253,208,217,461,1368
SBSV,2021-12,ARR,2657,0,0,0,0,0,7,19,67,164,312,412,376,294,244,176,144,84,65,57,40,36,29,17,13,12,89,788,294,244,320,538,1646
SBSV,2022-01,ARR,2659,0,0,0,0,0,1,5,46,113,282,429,464,382,272,197,149,83,56,44,18,20,9,14,9,2,64,893,382,272,346,654,1893
SBSV,2022-02,ARR,2071,20,2,2,4,2,1,15,48,143,331,421,354,293,155,94,53,32,9,15,12,6,3,6,3,2,45,775,293,155,147,448,1370
SBSV,2022-03,ARR,2369,0,0,0,0,0,3,12,57,165,343,472,432,315,197,117,67,53,40,18,13,10,7,6,6,5,31,904,315,197,184,512,1600
SBSV,2022-04,ARR,2158,0,0,0,0,3,2,7,34,142,286,431,407,273,173,134,75,50,29,28,18,14,3,2,6,6,35,838,273,173,209,446,1493
SBSV,2022-05,ARR,2064,13,0,0,1,1,2,12,38,157,268,415,365,259,156,127,73,45,30,15,12,13,6,6,10,5,35,780,259,156,200,415,1395
SBSV,2022-06,ARR,1993,2,0,1,0,3,2,7,34,148,301,373,354,262,166,113,65,41,18,20,15,9,13,3,7,3,33,727,262,166,178,428,1333
SBSV,2022-07,ARR,2294,5,0,0,1,1,4,10,45,156,298,373,409,334,193,125,95,57,34,26,18,23,12,10,8,7,50,782,334,193,220,527,1529
SBSV,2022-08,ARR,2049,0,0,0,0,1,5,10,33,106,265,376,348,271,205,131,69,72,43,24,24,15,12,7,4,2,26,724,271,205,200,476,1400
SBSV,2022-09,ARR,1929,0,1,3,3,4,4,14,47,106,223,378,338,236,149,121,72,61,40,35,11,18,7,7,5,4,42,716,236,149,193,385,1294
SBSV,2022-10,ARR,1953,2,0,0,0,3,7,15,38,115,250,367,296,239,155,114,81,54,48,36,35,10,10,6,11,5,56,663,239,155,195,394,1252
SBSV,2022-11,ARR,2055,25,0,0,0,0,2,5,19,71,143,219,264,280,237,165,119,113,82,58,44,38,27,17,20,14,93,483,280,237,284,517,1284
SBSV,2022-12,ARR,2382,13,0,0,5,5,5,14,44,94,205,300,297,301,228,157,160,115,88,62,52,38,25,20,19,20,115,597,301,228,317,529,1443
SBSV,2023-01,ARR,2503,0,0,0,2,8,9,17,42,92,208,354,367,338,265,179,147,99,69,61,55,38,25,17,27,9,75,721,338,265,326,603,1650
SBSV,2023-02,ARR,1968,0,0,1,5,4,10,15,18,60,140,251,292,248,228,171,128,80,46,56,51,23,19,23,12,19,68,543,248,228,299,476,1318
SBSV,2019-01,DEP,3046,17,3,1,0,0,0,0,0,0,13,142,506,656,442,327,209,190,115,97,59,49,34,35,21,21,109,648,656,442,536,1098,2282
SBSV,2019-02,DEP,2392,8,2,1,0,1,1,0,1,4,14,125,376,457,355,272,186,151,95,76,50,33,26,24,23,13,98,501,457,355,458,812,1771
SBSV,2019-03,DEP,2543,0,0,0,0,0,0,0,3,3,18,121,405,506,391,250,187,133,107,77,51,44,32,28,35,23,129,526,506,391,437,897,1860
SBSV,2019-04,DEP,2021,1,0,0,0,0,0,0,1,4,14,134,402,441,290,188,131,106,65,49,50,25,21,15,13,9,62,536,441,290,319,731,1586
SBSV,2019-05,DEP,1821,0,0,0,0,0,0,0,0,2,19,171,453,384,244,163,101,78,45,36,31,17,13,14,8,4,38,624,384,244,264,628,1516
SBSV,2019-06,DEP,1842,7,0,0,0,0,0,0,0,2,12,143,354,414,269,189,117,68,58,35,32,22,26,9,7,6,72,497,414,269,306,683,1486
SBSV,2019-07,DEP,2589,0,0,0,0,0,0,0,0,2,15,184,531,576,405,267,158,134,80,54,40,25,25,13,15,4,61,715,576,405,425,981,2121
SBSV,2019-08,DEP,2354,1,0,0,0,0,0,0,2,0,19,205,465,539,355,223,147,106,66,43,45,31,19,17,10,5,56,670,539,355,370,894,1934
SBSV,2019-09,DEP,2293,0,0,0,0,0,0,0,2,3,24,150,517,544,332,180,150,118,68,48,29,23,20,13,13,8,51,667,544,332,330,876,1873
SBSV,2019-10,DEP,2395,0,0,0,0,0,0,0,0,4,17,157,459,508,369,276,165,126,96,52,28,40,28,17,10,7,36,616,508,369,441,877,1934
SBSV,2019-11,DEP,2490,0,0,0,0,1,0,1,1,4,16,173,508,510,374,206,193,126,97,68,36,33,31,17,14,9,72,681,510,374,399,884,1964
SBSV,2019-12,DEP,2791,0,1,0,1,1,1,0,3,6,28,200,557,636,367,238,172,114,115,81,57,32,42,27,17,19,76,757,636,367,410,1003,2170
SBSV,2020-01,DEP,2945,0,0,1,2,0,2,3,9,7,24,229,660,753,426,224,145,125,76,49,39,27,17,18,14,13,82,889,753,426,369,1179,2437
SBSV,2020-02,DEP,2597,2,0,1,0,2,2,1,0,5,22,237,647,715,316,178,112,85,53,35,32,22,16,19,13,9,73,884,715,316,290,1031,2205
SBSV,2020-03,DEP,1820,0,0,0,0,0,0,1,2,2,22,214,493,470,228,119,71,42,35,18,18,16,16,4,4,8,37,707,470,228,190,698,1595
SBSV,2020-04,DEP,180,2,0,0,0,0,0,0,1,5,9,34,38,33,19,12,5,5,2,2,2,0,2,0,0,2,7,72,33,19,17,52,141
SBSV,2020-05,DEP,235,1,0,0,1,0,1,1,1,9,19,47,67,36,24,8,9,3,0,1,0,0,0,1,0,0,6,114,36,24,17,60,191
SBSV,2020-06,DEP,280,0,0,0,1,0,1,2,0,1,12,49,93,46,28,11,9,8,2,2,1,1,1,0,0,0,12,142,46,28,20,74,236
SBSV,2020-07,DEP,495,0,0,0,0,0,0,0,0,1,29,104,159,81,37,16,8,3,11,6,2,2,1,1,0,1,33,263,81,37,24,118,405
SBSV,2020-08,DEP,642,0,0,0,0,0,0,0,2,6,18,177,214,99,33,12,13,8,7,6,2,1,2,3,3,2,34,391,99,33,25,132,548
SBSV,2020-09,DEP,923,0,0,0,0,0,0,1,3,13,43,180,301,179,90,35,24,17,12,4,2,2,0,2,1,2,12,481,179,90,59,269,809
SBSV,2020-10,DEP,1422,3,1,4,2,0,1,2,6,10,51,303,426,305,142,60,37,18,10,9,1,1,2,1,1,0,26,729,305,142,97,447,1273
SBSV,2020-11,DEP,1558,1,0,1,0,0,1,4,2,6,22,192,456,370,159,119,70,42,29,19,16,11,3,6,5,1,23,648,370,159,189,529,1366
SBSV,2020-12,DEP,2099,0,0,0,0,3,3,5,8,9,55,330,587,413,253,122,91,66,46,30,19,7,11,7,5,4,25,917,413,253,213,666,1796
SBSV,2021-01,DEP,2557,1,2,0,1,1,0,0,1,6,39,293,656,584,358,220,135,84,53,33,23,21,7,7,4,2,26,949,584,358,355,942,2246
SBSV,2021-02,DEP,1706,0,0,0,0,0,0,0,1,10,54,329,569,377,154,87,36,29,14,11,8,5,2,4,3,1,12,898,377,154,123,531,1552
SBSV,2021-03,DEP,1500,0,0,0,0,0,0,0,0,3,31,291,535,351,139,69,31,18,8,7,4,0,2,2,0,1,8,826,351,139,100,490,1416
SBSV,2021-04,DEP,870,2,0,1,0,1,0,0,2,5,21,143,287,210,68,44,27,17,11,0,9,1,1,1,0,0,19,430,210,68,71,278,779
SBSV,2021-05,DEP,1128,0,0,1,0,0,1,0,1,5,29,167,401,272,108,54,38,15,5,8,4,3,1,0,2,2,11,568,272,108,92,380,1040
SBSV,2021-06,DEP,1480,0,0,0,0,0,0,1,1,2,24,199,510,349,174,97,47,24,8,10,8,5,3,3,1,0,14,709,349,174,144,523,1376
SBSV,2021-07,DEP,2012,0,0,0,0,0,0,0,0,1,29,274,722,525,211,92,43,31,10,16,7,9,5,5,1,5,26,996,525,211,135,736,1867
SBSV,2021-08,DEP,1814,0,0,0,0,0,0,0,0,2,30,322,610,427,193,91,43,17,17,11,12,6,9,3,1,2,18,932,427,193,134,620,1686
SBSV,2021-09,DEP,2018,0,0,0,0,0,0,0,0,1,29,229,593,508,267,137,70,55,29,25,16,14,5,7,6,1,26,822,508,267,207,775,1804
SBSV,2021-10,DEP,2130,0,0,0,0,0,1,0,0,1,21,244,660,558,251,121,72,55,21,21,14,7,11,11,5,2,54,904,558,251,193,809,1906
SBSV,2021-11,DEP,2207,0,0,0,0,0,0,0,1,1,16,146,527,577,323,177,115,78,54,34,24,19,16,12,7,9,71,673,577,323,292,900,1865
SBSV,2021-12,DEP,2668,0,0,0,0,0,0,0,1,3,22,209,650,633,357,201,137,96,76,54,40,26,18,23,11,9,102,859,633,357,338,990,2187
SBSV,2022-01,DEP,2671,18,0,0,0,0,0,0,0,1,12,174,566,655,391,241,150,107,72,68,39,33,27,20,13,11,73,740,655,391,391,1046,2177
SBSV,2022-02,DEP,2071,12,0,0,0,2,7,3,1,4,22,254,622,526,231,119,70,42,29,23,14,8,9,7,10,3,53,876,526,231,189,757,1822
SBSV,2022-03,DEP,2376,0,0,0,0,1,0,1,3,9,44,315,750,532,268,153,90,53,41,16,17,12,13,5,7,5,41,1065,532,268,243,800,2108
SBSV,2022-04,DEP,2154,0,0,0,0,0,1,0,2,8,37,227,634,539,258,154,72,61,40,25,17,15,9,4,3,4,44,861,539,258,226,797,1884
SBSV,2022-05,DEP,2080,0,0,0,0,1,1,1,3,10,38,307,628,439,236,132,82,41,36,30,11,11,10,12,3,2,46,935,439,236,214,675,1824
SBSV,2022-06,DEP,1999,2,0,0,0,0,2,2,2,7,29,228,600,494,236,137,75,50,33,20,13,4,13,11,6,5,30,828,494,236,212,730,1770
SBSV,2022-07,DEP,2296,0,3,0,1,0,0,1,3,5,24,204,578,580,316,168,115,69,48,34,22,22,9,10,7,9,68,782,580,316,283,896,1961
SBSV,2022-08,DEP,2046,0,0,0,0,0,0,0,3,5,25,159,514,530,301,155,108,59,44,39,32,17,9,6,5,1,34,673,530,301,263,831,1767
SBSV,2022-09,DEP,1933,0,0,0,0,0,3,7,11,14,32,212,501,440,241,127,89,70,40,34,16,18,14,3,11,5,45,713,440,241,216,681,1610
SBSV,2022-10,DEP,1952,2,0,0,0,0,0,3,10,15,33,224,503,427,241,127,89,55,55,23,26,16,12,8,7,5,71,727,427,241,216,668,1611
SBSV,2022-11,DEP,2121,25,0,0,1,1,3,3,10,7,18,112,451,395,290,172,116,105,86,56,49,41,34,26,17,8,95,563,395,290,288,685,1536
SBSV,2022-12,DEP,2421,13,0,0,3,1,3,5,13,17,32,183,463,466,317,161,141,126,91,64,57,47,29,26,21,9,133,646,466,317,302,783,1731
SBSV,2023-01,DEP,2550,2,1,1,2,4,16,15,8,9,22,161,445,471,361,233,172,118,123,90,72,41,30,25,21,14,93,606,471,361,405,832,1843
SBSV,2023-02,DEP,1966,1,0,1,2,3,7,9,8,7,20,116,360,398,237,166,143,107,75,57,48,34,20,20,14,17,96,476,398,237,309,635,1420
