AIRPORT,PHASE,DATE,FLTS,SUM_TXXT,SUM_REF,AVG_ADD_TIME
EDDF,ARR,2019-01,18794,184513.41666666663,136864.31333333332,2.535335922812245
EDDF,ARR,2019-02,18418,175460.16666666666,131559.47708333333,2.3835752841423243
EDDF,ARR,2019-03,21032,201667.48333333337,152536.55333333334,2.3360084632940277
EDDF,ARR,2019-04,21851,199722.58333333337,148710.92625,2.334522771650421
EDDF,ARR,2019-05,23088,225133.95,165803.47666666663,2.569753696003697
EDDF,ARR,2019-06,22930,221271.08333333337,162085.44916666666,2.581144097979358
EDDF,ARR,2019-07,23560,223232.93333333332,167547.85666666666,2.363543152235427
EDDF,ARR,2019-08,23198,219112.73333333337,167832.68958333333,2.210537276920425
EDDF,ARR,2019-09,23359,231390.41666666663,171259.99208333337,2.5741865911782744
EDDF,ARR,2019-10,22971,228467.43333333332,166987.92083333334,2.676396869966479
EDDF,ARR,2019-11,19385,186927.86666666667,137829.25875,2.5328144398589973
EDDF,ARR,2019-12,18375,179704.43333333332,131545.03458333333,2.620919659863945
EDDF,ARR,2020-01,18146,176377.38333333333,131653.55958333332,2.4646656976744192
EDDF,ARR,2020-02,17930,173819.11666666667,130560.30875,2.4126496328313816
EDDF,ARR,2020-03,11443,101396.05,79439.47083333334,1.918778219581112
EDDF,ARR,2020-04,3248,24632.5,16456.215416666666,2.5173289973316915
EDDF,ARR,2020-05,3887,28393.7,23143.744166666667,1.350644670268416
EDDF,ARR,2020-06,4663,33015.45,27543.855,1.1734066051897911
EDDF,ARR,2020-07,7670,57976.73333333333,46068.87625,1.5525237396784002
EDDF,ARR,2020-08,8849,74706.9,56428.729166666664,2.06556343466305
EDDF,ARR,2020-09,8466,68146,52632.6525,1.8324294235766592
EDDF,ARR,2020-10,8548,68585.9,52425.979583333334,1.8904913917485564
EDDF,ARR,2020-11,6397,53918.03333333333,40580.300833333335,2.084998045959043
EDDF,ARR,2020-12,6832,57795.11666666667,42002.89708333334,2.3115075502537077
EDDF,ARR,2021-01,6531,53153.60000000011,40549.457083333204,1.9298947966110709
EDDF,ARR,2021-02,5402,44087.849999999984,33903.70416666669,1.8852546896211204
EDDF,ARR,2021-03,6713,53691.633333333295,40996.81666666702,1.891079497492369
EDDF,ARR,2021-04,7583,59898.50000000021,47270.35541666669,1.6653230361774396
EDDF,ARR,2021-05,8387,64358.75000000023,47983.615416666944,1.9524424208099784
EDDF,ARR,2021-06,9867,81520.88333333352,63068.92875000075,1.8700673541433843
EDDF,ARR,2021-07,13735,115937.6999999996,89165.05499999947,1.9492278849654268
EDDF,ARR,2021-08,14380,125117.03333333367,93670.17208333252,2.186847096662112
EDDF,ARR,2021-09,13767,121751.88333333278,94418.29416666616,1.9854426648265149
EDDF,ARR,2021-10,14649,135442.96666666688,100217.7762499986,2.4046139952671353
EDDF,ARR,2021-11,14010,133313.03333333408,98226.55874999885,2.504387907447198
EDDF,ARR,2021-12,13298,123556.85000000018,91705.75541666608,2.395179318945262
EDDM,ARR,2019-01,15617,94400,65613.35,1.8432893641544468
EDDM,ARR,2019-02,14949,90117,62320.625,1.859413673155395
EDDM,ARR,2019-03,17122,97129,71650.175,1.4880752832613011
EDDM,ARR,2019-04,17061,96316,69908.275,1.547841568489538
EDDM,ARR,2019-05,18735,110907,78040.125,1.7543034427542037
EDDM,ARR,2019-06,18186,108707,75522.55,1.8247250632354557
EDDM,ARR,2019-07,18818,110923,79197.1,1.685933680518652
EDDM,ARR,2019-08,18053,108123,75882.2,1.785897080817593
EDDM,ARR,2019-09,18933,107860,79393.075,1.5035612422753923
EDDM,ARR,2019-10,18664,105840,77991.9,1.4920756536648097
EDDM,ARR,2019-11,15759,88841,65285.25,1.4947490322990038
EDDM,ARR,2019-12,15267,87648,63603.425,1.5749377742844042
EDDM,ARR,2020-01,15298,86076,63823.75,1.4545855667407503
EDDM,ARR,2020-02,14703,82684,61779.375,1.4217931714616066
EDDM,ARR,2020-03,8675,46528,35532.95,1.267440922190202
EDDM,ARR,2020-04,906,4633,3788.3,0.9323399558498894
EDDM,ARR,2020-05,1028,6978,5784.35,1.1611381322957195
EDDM,ARR,2020-06,2315,13474,10105.25,1.455183585313175
EDDM,ARR,2020-07,4975,28796,21737.6,1.418773869346734
EDDM,ARR,2020-08,6132,32177,24543.25,1.244903783431181
EDDM,ARR,2020-09,6357,33217,25160.575,1.267331288343558
EDDM,ARR,2020-10,5669,30051,23185.4,1.2110777914976183
EDDM,ARR,2020-11,3248,17139,12834.7,1.325215517241379
EDDM,ARR,2020-12,2843,16209,11401.075,1.6911449173408368
EDDM,ARR,2021-01,2418,15324,10510.850000000022,1.990550041356484
EDDM,ARR,2021-02,1702,9555,6963.3500000000095,1.5227085781433551
EDDM,ARR,2021-03,2518,14646,11006.32500000002,1.4454626687847425
EDDM,ARR,2021-04,3171,17063,12524.02500000001,1.4314017660044116
EDDM,ARR,2021-05,3950,21413,14984.349999999977,1.62750632911393
EDDM,ARR,2021-06,5196,30228,20802.974999999955,1.8139001154734495
EDDM,ARR,2021-07,7386,43220,31906.62499999997,1.5317323314378593
EDDM,ARR,2021-08,8195,47992,36322.49999999975,1.4239780353874616
EDDM,ARR,2021-09,8749,50286,37604.69999999975,1.449457080809264
EDDM,ARR,2021-10,9552,53488,38397.42499999991,1.5798340661641637
EDDM,ARR,2021-11,8839,48702,35452.34999999989,1.4989987555153423
EDDM,ARR,2021-12,8621,48396,34523.02499999994,1.6092071685419391
EDDM,ARR,2022-01,8208,46652,30363.624999999884,1.9844511452241855
EDDM,ARR,2022-02,7418,40435,27794.874999999935,1.7039801833378352
EDDM,ARR,2022-03,8131,42269,31428.574999999953,1.3332216209568375
EDDM,ARR,2022-04,11874,63194,46905.50000000001,1.3717786760990394
EDDM,ARR,2022-05,13436,73536,52801.2499999999,1.543223429592148
EDDM,ARR,2022-06,13697,76960,53616.075000000026,1.7043093378111975
EDDM,ARR,2022-07,12984,73863,50717.39999999996,1.7826247689463988
EDDM,ARR,2022-08,14017,78680,52891.15000000003,1.8398266390811135
EDDM,ARR,2022-09,13930,80918,53694.17499999991,1.9543305814788292
EDDM,ARR,2022-10,13934,80912,54568.425000000025,1.890596741782688
EDDM,ARR,2022-11,11761,66180,45975.724999999955,1.7179045149222043
EDDM,ARR,2022-12,10630,61944,41427.54999999993,1.9300517403574855
EGLL,ARR,2019-01,18920,163256,98912.05,3.400843023255814
EGLL,ARR,2019-02,17625,153642,92137.05,3.4896425531914894
EGLL,ARR,2019-03,19946,170262,102812.35,3.3816128547077104
EGLL,ARR,2019-04,20172,177770,111595.075,3.280533660519532
EGLL,ARR,2019-05,20839,172524,108866.75,3.0547171169441913
EGLL,ARR,2019-06,20453,179147,108817.275,3.4386019165892536
EGLL,ARR,2019-07,21059,193446,111054.45,3.912415119426374
EGLL,ARR,2019-08,21021,186114,109052.875,3.6659114694828983
EGLL,ARR,2019-09,19528,163419,102811.65,3.103612761163458
EGLL,ARR,2019-10,20681,175594,109152.25,3.2126952275035054
EGLL,ARR,2019-11,19073,169459,101843.45,3.5450925391915273
EGLL,ARR,2019-12,18577,156283,96853.775,3.1990754696667927
EGLL,ARR,2020-01,19024,153859,98669.2,2.9010618166526494
EGLL,ARR,2020-02,17636,148098,90506.85,3.2655449081424357
EGLL,ARR,2020-03,13066,102835,69828.4,2.526144191030155
EGLL,ARR,2020-04,2624,20328,15328.175,1.9054211128048784
EGLL,ARR,2020-05,3409,25830,18633.075,2.1111542974479316
EGLL,ARR,2020-06,3751,28090,20733.125,1.9613103172487336
EGLL,ARR,2020-07,6092,44549,33565.45,1.8029464871963232
EGLL,ARR,2020-08,7702,54416,41299.85,1.7029537782394186
EGLL,ARR,2020-09,7322,53818,39263.175,1.987820950559956
EGLL,ARR,2020-10,9076,72863,47566.825,2.7871501762891144
EGLL,ARR,2020-11,5793,46335,31469.925,2.5660409114448473
EGLL,ARR,2020-12,6487,55632,35338.85,3.128279636195468
EGLL,ARR,2021-01,4973,41103,27647.225000000028,2.7057661371405533
EGLL,ARR,2021-02,4026,31519,22321.95000000001,2.2844138102334797
EGLL,ARR,2021-03,4820,35987,26971.750000000033,1.870383817427379
EGLL,ARR,2021-04,5067,37516,28297.449999999903,1.8193309650681069
EGLL,ARR,2021-05,5704,41204,31385.22500000001,1.721384116409536
EGLL,ARR,2021-06,6667,49926,36544.47499999988,2.007128393580339
EGLL,ARR,2021-07,8302,64687,44841.92499999995,2.3903968923151107
EGLL,ARR,2021-08,9656,72519,50785.50000000008,2.250776719138351
EGLL,ARR,2021-09,10778,90004,56163.77499999985,3.139749953609218
EGLL,ARR,2021-10,12119,100138,61446.92499999976,3.1925963363314
EGLL,ARR,2021-11,11966,112044,61007.674999999814,4.265111566103977
EGLL,ARR,2021-12,12484,116616,64945.675,4.138923822492791
EGLL,ARR,2022-01,10499,86416,52923.24999999988,3.190089532336424
EGLL,ARR,2022-02,7970,75257,39442.15,4.49370765370138
EGLL,ARR,2022-03,14140,152712,74957.24999999999,5.498921499292788
EGLL,ARR,2022-04,16369,178287,85585.67499999984,5.663224693017298
EGLL,ARR,2022-05,17665,191184,88284.49999999933,5.825049532974846
EGLL,ARR,2022-06,17444,206650,88205.37499999962,6.7899922609493455
EGLL,ARR,2022-07,17089,197386,87152.82499999981,6.450533969219977
EGLL,ARR,2022-08,16996,173844,89074.67499999986,4.98760443633797
EGLL,ARR,2022-09,16658,176440,84942.87499999958,5.492683695521697
EGLL,ARR,2022-10,17340,186870,87986.4749999997,5.702625432525969
EGLL,ARR,2022-11,17250,186088,87947.59999999976,5.689298550724652
EGLL,ARR,2022-12,17226,189477,88870.27499999964,5.840399686520397
EHAM,ARR,2019-01,19262,155567.75,117534.625,1.97451588620081
EHAM,ARR,2019-02,18274,190408.16666666663,142442.32083333333,2.6248137152967783
EHAM,ARR,2019-03,20650,190606.5,138092.13833333334,2.5430683615819207
EHAM,ARR,2019-04,21773,148047.51666666666,110964.91625,1.7031461175155775
EHAM,ARR,2019-05,23253,181161.31666666668,133644.48833333334,2.043470878309609
EHAM,ARR,2019-06,22634,215911.61666666667,156807.66583333333,2.6112905731789935
EHAM,ARR,2019-07,23210,185762.68333333332,140432.605,1.953040858825218
EHAM,ARR,2019-08,23327,212584.53333333333,169719.3316666667,1.8375788428287676
EHAM,ARR,2019-09,22885,202726.31666666668,138318.33208333334,2.8144192520573887
EHAM,ARR,2019-10,23042,211188.3,161834.75666666665,2.1418949454619103
EHAM,ARR,2019-11,19661,203851.63333333333,151003.12375,2.6879868563823472
EHAM,ARR,2019-12,19889,192060.71666666667,148545.78708333333,2.1878892645851145
EHAM,ARR,2020-01,19435,190121.95,150620.80375,2.0324747234370992
EHAM,ARR,2020-02,18218,161167.23333333334,126191.74291666668,1.919831508215318
EHAM,ARR,2020-03,13254,115201.25,93374.63208333332,1.6467947726472514
EHAM,ARR,2020-04,2470,18050.616666666665,14955.86875,1.2529343792172734
EHAM,ARR,2020-05,3366,25715.966666666667,20792.664166666666,1.4626567142008324
EHAM,ARR,2020-06,4613,37751.916666666664,32083.685833333333,1.2287515355155716
EHAM,ARR,2020-07,8598,71568.95,62016.65708333333,1.1109901042878187
EHAM,ARR,2020-08,12283,91006.38333333332,78170.5075,1.0450114657114162
EHAM,ARR,2020-09,11746,85409.51666666666,68326.50125,1.4543687567398826
EHAM,ARR,2020-10,10331,94992.66666666669,77931.39583333333,1.65146363695028
EHAM,ARR,2020-11,7900,75675.58333333333,63904.855,1.489965611814345
EHAM,ARR,2020-12,8490,81701.25,68659.61958333333,1.5361166568511977
EHAM,ARR,2021-01,7784,55392.183333333334,42354.66125000068,1.67491290895846
EHAM,ARR,2021-02,5681,44518.316666666695,25847.293749999862,3.286573299888546
EHAM,ARR,2021-03,6643,40519.28333333331,29358.995000000083,1.6800072758291775
EHAM,ARR,2021-04,7395,36483.08333333329,28339.43666666688,1.101236871760164
EHAM,ARR,2021-05,8497,58885.90000000004,47488.834166667184,1.341304676160157
EHAM,ARR,2021-06,10447,69683.2333333334,55001.12708333458,1.405389705178407
EHAM,ARR,2021-07,15412,118131.13333333336,93463.62208333456,1.6005392713469246
EHAM,ARR,2021-08,16735,131841.90000000078,106095.66000000032,1.5384666865850296
EHAM,ARR,2021-09,16141,124261.00000000032,98308.46666666822,1.607864031555177
EHAM,ARR,2021-10,16665,160934.13333333225,123444.33541666946,2.249612836283396
EHAM,ARR,2021-11,15023,126343.3666666676,98977.00000000071,1.821631276487177
EHAM,ARR,2021-12,15845,147834.33333333393,113884.83291666802,2.14260021563054
EHAM,ARR,2022-01,13783,123010.14999999982,95698.17749999996,1.9815695059130711
EHAM,ARR,2022-02,12771,113330.90000000024,88210.15750000108,1.967014525095855
EHAM,ARR,2022-03,16160,118486.18333333376,90032.79583333456,1.7607294245049008
EHAM,ARR,2022-04,17744,122690.01666666631,89011.00833333515,1.8980505147278617
EHAM,ARR,2022-05,20341,161733.00000000076,116640.68416667104,2.2168190272518418
EHAM,ARR,2022-06,19775,160664.15000000127,114454.05333333528,2.3367937631689504
EHAM,ARR,2022-07,19249,159016.80000000092,118937.91833333451,2.0821279893327658
EHAM,ARR,2022-08,19903,136988.24999999933,100801.31375000055,1.818164912324713
EHAM,ARR,2022-09,19790,167360.4833333331,119891.19291666796,2.398650349503039
EHAM,ARR,2022-10,19335,188931.11666666652,144535.83916666658,2.296109516420995
EHAM,ARR,2022-11,16066,170277.8499999995,128587.33500000248,2.5949530063486272
EHAM,ARR,2022-12,16153,152079.90000000026,113351.37166666718,2.3976059142780333
LEMD,ARR,2019-01,16285,120285.15,93122.935,1.667928461774639
LEMD,ARR,2019-02,14955,115049.2,90607.45625,1.6343526412571043
LEMD,ARR,2019-03,16846,119467.55,92709.28708333331,1.588404542126717
LEMD,ARR,2019-04,17235,144555.88333333333,110966.78083333334,1.9488890339425584
LEMD,ARR,2019-05,18413,150062.66666666666,116085.10083333332,1.84530309201832
LEMD,ARR,2019-06,18749,165699.3,128693.7475,1.9737347325190673
LEMD,ARR,2019-07,19252,164983.1,127843.47458333331,1.9291307613061852
LEMD,ARR,2019-08,18328,156133.98333333334,121373.60916666666,1.8965721391677584
LEMD,ARR,2019-09,18415,148075.56666666668,115497.3675,1.7691120915920004
LEMD,ARR,2019-10,18407,149245.1,116701.35083333332,1.768009407652886
LEMD,ARR,2019-11,15880,138820.63333333333,105596.94666666668,2.0921717044500414
LEMD,ARR,2019-12,16963,143901.1,109539.36541666668,2.0256873538485727
LEMD,ARR,2020-01,16471,133897.61666666667,103269.1975,1.8595361038593088
LEMD,ARR,2020-02,15488,123099.76666666666,96237.05833333332,1.7344207343319555
LEMD,ARR,2020-03,9821,76321.73333333334,59317.14833333333,1.731451481519194
LEMD,ARR,2020-04,1165,8966.466666666667,6869.6866666666665,1.799811158798284
LEMD,ARR,2020-05,1369,10630.983333333334,7613.882083333333,2.203872352081812
LEMD,ARR,2020-06,1772,15535.183333333332,11247.647916666669,2.419602379608728
LEMD,ARR,2020-07,5213,48884.63333333333,36365.980833333335,2.4014295990792243
LEMD,ARR,2020-08,7497,63474.816666666666,50729.63333333333,1.700037792894936
LEMD,ARR,2020-09,6105,51821,40934.32958333333,1.7832383974883976
LEMD,ARR,2020-10,5550,46942.8,36878.965416666666,1.8133035285285293
LEMD,ARR,2020-11,4874,40724.86666666667,31482.708333333332,1.896216317877172
LEMD,ARR,2020-12,5920,48772.816666666666,37996.39833333333,1.820340934684685
LEMD,ARR,2021-01,4945,40301.96666666665,28260.24333333344,2.435131108864148
LEMD,ARR,2021-02,4734,41035.06666666662,32728.9679166668,1.7545624735952308
LEMD,ARR,2021-03,5510,46560.85000000022,35367.93875000011,2.0313813520871338
LEMD,ARR,2021-04,5935,49586.89999999996,39074.20958333358,1.7713041982588678
LEMD,ARR,2021-05,6869,61137.05000000007,45584.91708333354,2.264104369874295
LEMD,ARR,2021-06,8622,75789.7666666668,58039.84125000012,2.058678429212094
LEMD,ARR,2021-07,10919,94459.76666666666,72841.68791666652,1.979858846964021
LEMD,ARR,2021-08,11452,96812.55000000037,77502.89500000006,1.6861382291303095
LEMD,ARR,2021-09,11315,95420.56666666636,76036.07833333308,1.7131673295036056
LEMD,ARR,2021-10,11570,101013.73333333369,77087.34249999994,2.06796809276869
LEMD,ARR,2021-11,11818,99687.11666666657,74669.89624999998,2.1168742948609403
LEMD,ARR,2021-12,12460,105553.5833333334,80623.07708333299,2.000843198234382
LEMD,ARR,2022-01,11816,95316.84999999966,73665.1537499992,1.832404895903898
LEMD,ARR,2022-02,11072,90509.15000000013,69963.7299999999,1.8556195809248763
LEMD,ARR,2022-03,13196,112382.61666666769,86938.1041666669,1.928198886026128
LEMD,ARR,2022-04,14177,115526.98333333289,93532.4133333327,1.551426253791364
LEMD,ARR,2022-05,15127,120088.61666666652,97684.57166666676,1.4810633304686809
LEMD,ARR,2022-06,15038,128291.59999999987,103730.3879166666,1.6332765050760256
LEMD,ARR,2022-07,15837,130255.78333333318,103988.10291666718,1.6586272915745406
LEMD,ARR,2022-08,15504,126336.95000000016,102680.48833333356,1.5258295708634286
LEMD,ARR,2022-09,14371,124527.54999999976,94584.56749999906,2.083569862918426
LEMD,ARR,2022-10,15628,126106.30000000088,99395.48208333328,1.7091641871427938
LEMD,ARR,2022-11,14955,124082.183333333,96101.07666666587,1.8710201716260175
LEMD,ARR,2022-12,15346,126076.23333333406,97866.1991666666,1.8382662691689984
LFPG,ARR,2019-01,18951,184901.51666666663,141228.44333333333,2.304526058431393
LFPG,ARR,2019-02,17563,163836.55,128699.53333333334,2.000627265653171
LFPG,ARR,2019-03,19973,187056.03333333333,148205.42833333334,1.9451562108846936
LFPG,ARR,2019-04,21320,199116.71666666667,154030.26666666666,2.1147490619136966
LFPG,ARR,2019-05,21879,207529.4,162277.915,2.068261117967
LFPG,ARR,2019-06,22071,209846.96666666667,162651.78,2.1383347680969
LFPG,ARR,2019-07,23421,222465.81666666668,171428.05666666667,2.1791452115622736
LFPG,ARR,2019-08,23516,224946.25,172874.38,2.214316635482225
LFPG,ARR,2019-09,22512,216939.28333333333,167403.98666666666,2.200395196635868
LFPG,ARR,2019-10,22141,217587.88333333333,165628.54833333334,2.3467474368818024
LFPG,ARR,2019-11,19157,186687.18333333332,141665.01666666666,2.350167910772389
LFPG,ARR,2019-12,19388,190402.1,143799.58333333334,2.4036783921325906
LFPG,ARR,2020-01,18834,183334.86666666667,139818.29,2.3105329014902125
LFPG,ARR,2020-02,17829,173485.06666666668,133879.29,2.221424458279582
LFPG,ARR,2020-03,11847,112788.05,91173.66833333332,1.8244603415773333
LFPG,ARR,2020-04,2109,23655.483333333337,17694.45,2.8264738422633156
LFPG,ARR,2020-05,2924,33734,25547.54,2.7997469220246236
LFPG,ARR,2020-06,4906,51952.45,41482.21333333333,2.134169724147302
LFPG,ARR,2020-07,9478,100810.9,78139.13833333334,2.3920406907223737
LFPG,ARR,2020-08,11474,105107.06666666668,80500.77,2.144526465632444
LFPG,ARR,2020-09,9412,84861.81666666667,66878.18333333333,1.9107132738348205
